Parlick Fell Pure Sheeps%u2019 Milk Cheese,M1
"Description
An award winning",M2
fresh and piquant,M2
 ewes milk cheese,M2
"with a salty first note followed by a light, clean flavour has a character all of its own. ",M2
Winner of the prestigious %u2018Prince of Wales Award for Speciality Cheese%u2019 at the Great Yorkshire Show.,M2
"Serving Suggestions
-  Cubed on tomato and onion salad with a splash of rich balsamic vinegar",M5
-  A lovely accompaniment to fresh juicy grapes and crispy apples,M5
-  Scattered over a warm salad,M5
"Recipes
Grandma Singletons Parlic Fell Coated in a Chorizio Crust

Grandma Singletons Parlick Fell, Roasted Beatroot and Grapefruite Salad

Red Onion Marmelade and Sheeps Cheese Tartlet
",M7_S1
"Grandma%u2019s Promise
All the cheese produced at Grandma Singletons is made using only locally sourced milk from farms no more than 12 miles (20km) away.  Every cheese is hand crafted to the highest quality standards using time honoured traditional methods.",M2
